Lisa the Grandmistress Merchant entered the City of Britain#November 8, 2025 at 03:33
Lisa the Grandmistress Merchant entered the Land of Sosaria#November 8, 2025 at 03:31
Lisa the Grandmistress Merchant entered the City of Britain#November 8, 2025 at 03:31
Lisa the Grandmistress Merchant entered the Bank of Britain#November 8, 2025 at 03:29
Lisa the Grandmistress Merchant entered the City of Britain#November 8, 2025 at 03:28
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 03:24
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 03:24
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 03:24
Sara the Titan of Ether entered the Obsidian Fortress#November 8, 2025 at 03:22
Sara the Titan of Ether entered the Underworld#November 8, 2025 at 03:22
Sara the Titan of Ether entered the Underworld#November 8, 2025 at 03:22
